country_name,item_name,day1,dpr1,day2,dpr2,value,unit
서울,쌀/일반계,당일,"51,600",1일전,"51,600",0.0,20kg
서울,찹쌀/일반계,당일,"4,504",1일전,"4,504",0.0,1kg
서울,콩/흰 콩(국산),당일,"6,351",1일전,"6,351",0.0,500g
서울,팥/붉은 팥(국산),당일,"9,270",1일전,"9,270",0.0,500g
서울,녹두/국산,당일,"14,050",1일전,"14,050",0.0,500g
서울,고구마/밤,당일,"5,776",1일전,"5,550",4.1,1kg
서울,감자/수미,당일,508,1일전,508,0.0,100g
서울,배추/월동,당일,"4,360",1일전,"4,360",0.0,1포기
서울,양배추/양배추,당일,"4,245",1일전,"4,245",0.0,1포기
서울,시금치/시금치,당일,"6,533",1일전,"6,533",0.0,1kg
서울,상추/적,당일,876,1일전,876,0.0,100g
서울,상추/청,당일,955,1일전,955,0.0,100g
서울,얼갈이배추/얼갈이배추,당일,"2,876",1일전,"2,934",2.0,1kg
서울,수박/수박,당일,"29,350",1일전,"30,350",3.3,1개
서울,참외/참외,당일,"29,455",1일전,"29,455",0.0,10개
서울,오이/가시계통,당일,"16,630",1일전,"16,630",0.0,10개
서울,오이/다다기계통,당일,"8,979",1일전,"9,036",0.6,10개
서울,오이/취청,당일,"14,557",1일전,"14,457",0.7,10개
서울,호박/애호박,당일,"1,830",1일전,"1,830",0.0,1개
서울,호박/쥬키니,당일,"2,113",1일전,"2,113",0.0,1개
서울,토마토/토마토,당일,"6,361",1일전,"6,361",0.0,1kg
서울,딸기/딸기,당일,"1,108",1일전,"1,142",3.0,100g
서울,무/월동,당일,"1,668",1일전,"1,668",0.0,1개
서울,당근/무세척,당일,"2,889",1일전,"2,889",0.0,1kg
서울,열무/열무,당일,"3,901",1일전,"3,866",0.9,1kg
서울,건고추/양건,당일,"18,650",1일전,"18,650",0.0,600g
서울,풋고추/풋고추,당일,"1,926",1일전,"1,926",0.0,100g
서울,풋고추/꽈리고추,당일,"1,424",1일전,"1,413",0.8,100g
서울,풋고추/청양고추,당일,923,1일전,923,0.0,100g
서울,붉은고추/붉은고추,당일,"2,371",1일전,"2,360",0.5,100g
서울,깐마늘(국산)/깐마늘(국산),당일,"13,186",1일전,"13,186",0.0,1kg
서울,양파/양파,당일,"1,863",1일전,"1,863",0.0,1kg
서울,파/대파,당일,"2,976",1일전,"2,976",0.0,1kg
서울,파/쪽파,당일,"5,858",1일전,"5,835",0.4,1kg
서울,생강/국산,당일,"8,082",1일전,"8,082",0.0,1kg
서울,고춧가루/국산,당일,"31,423",1일전,"31,423",0.0,1kg
서울,고춧가루/중국,당일,"12,000",1일전,"12,000",0.0,1kg
서울,미나리/미나리,당일,880,1일전,880,0.0,100g
서울,깻잎/깻잎,당일,"2,456",1일전,"2,456",0.0,100g
서울,피망/청,당일,"1,327",1일전,"1,327",0.0,100g
서울,파프리카/파프리카,당일,"1,623",1일전,"1,623",0.0,200g
서울,멜론/멜론,당일,"12,718",1일전,"12,718",0.0,1개
서울,방울토마토/방울토마토,당일,"10,580",1일전,"10,933",3.2,1kg
서울,방울토마토/대추방울토마토,당일,"8,719",1일전,"8,719",0.0,1kg
서울,참깨/백색(국산),당일,"17,533",1일전,"17,533",0.0,500g
서울,땅콩/국산,당일,"2,777",1일전,"2,777",0.0,100g
서울,느타리버섯/느타리버섯,당일,"1,510",1일전,"1,510",0.0,100g
서울,느타리버섯/애느타리버섯,당일,567,1일전,567,0.0,100g
서울,팽이버섯/팽이버섯,당일,583,1일전,583,0.0,150g
서울,새송이버섯/새송이버섯,당일,604,1일전,604,0.0,100g
서울,사과/후지,당일,"30,343",1일전,"30,343",0.0,10개
서울,배/신고,당일,"31,590",1일전,"33,050",4.4,10개
서울,포도/레드글로브 페루,당일,"7,490",1일전,"7,490",0.0,1kg
서울,바나나/수입,당일,317,1일전,317,0.0,100g
서울,참다래/국산,당일,"9,160",1일전,"9,175",0.2,10개
서울,파인애플/수입,당일,"5,993",1일전,"5,993",0.0,1개
서울,오렌지/네이블 미국,당일,"16,335",1일전,"16,335",0.0,10개
서울,레몬/수입,당일,"9,698",1일전,"9,698",0.0,10개
서울,망고/수입,당일,"4,485",1일전,"4,485",0.0,1개
서울,쇠고기/한우등심,당일,"11,410",1일전,"11,118",2.6,100g
서울,쇠고기/한우설도,당일,"5,016",1일전,"4,800",4.5,100g
서울,쇠고기/한우양지,당일,"8,760",1일전,"6,950",26.0,100g
서울,쇠고기/한우안심,당일,"16,730",1일전,"16,730",0.0,100g
서울,쇠고기/미국산갈비살,당일,"3,718",1일전,"4,183",11.1,100g
서울,쇠고기/호주산갈비,당일,"3,653",1일전,"3,727",2.0,100g
서울,우유/우유,당일,"2,710",1일전,"2,710",0.0,1리터
서울,건미역/건미역,당일,"2,899",1일전,"2,899",0.0,100g
서울,굴/굴,당일,"15,600",1일전,"15,600",0.0,1kg
서울,새우젓/새우젓,당일,"22,456",1일전,"22,456",0.0,1kg
서울,멸치액젓/멸치액젓,당일,"5,377",1일전,"5,377",0.0,1kg
서울,굵은소금/굵은소금,당일,"12,020",1일전,"12,020",0.0,5kg
서울,콩나물/풀무원 국산콩 콩나물 340g,당일,"2,600",1일전,"2,600",0.0,1봉
서울,맛김(조미김)/동원에프앤비 양반 들기름김 5g×20봉,당일,"8,174",1일전,"8,174",0.0,1묶음
서울,간장/샘표 양조간장 501 1.8L,당일,"13,660",1일전,"13,660",0.0,1개
서울,된장/청정원 재래식 생된장 1kg,당일,"8,100",1일전,"8,100",0.0,1개
서울,고추장/해찬들 우리쌀로만든 태양초고추장 1kg,당일,"16,200",1일전,"16,200",0.0,1개
서울,김치/대상 종가집 포기김치 3.3kg,당일,"28,800",1일전,"28,800",0.0,1개
서울,두부/풀무원 국산콩 300g×2,당일,"5,442",1일전,"5,433",0.2,1개
서울,즉석밥/CJ 햇반 백미밥 210g×8개,당일,"9,936",1일전,"9,936",0.0,1묶음
서울,쌀/일반계,당일,"50,000",1일전,"50,000",0.0,20kg
서울,찹쌀/일반계,당일,"107,000",1일전,"107,000",0.0,40kg
서울,콩/흰 콩(국산),당일,"201,000",1일전,"201,000",0.0,35kg
서울,팥/붉은 팥(국산),당일,"360,000",1일전,"360,000",0.0,40kg
서울,녹두/국산,당일,"713,000",1일전,"713,000",0.0,40kg
서울,고구마/밤,당일,"32,000",1일전,"31,300",2.2,10kg
서울,감자/수미,당일,"52,300",1일전,"43,000",21.6,20kg
서울,배추/월동,당일,"10,400",1일전,"11,600",10.3,10kg
서울,양배추/양배추,당일,"10,000",1일전,"9,000",11.1,8kg
서울,시금치/시금치,당일,"12,500",1일전,"14,500",13.8,4kg
서울,상추/적,당일,"17,000",1일전,"17,700",4.0,4kg
서울,상추/청,당일,"19,200",1일전,"21,200",9.4,4kg
서울,얼갈이배추/얼갈이배추,당일,"8,250",1일전,"8,250",0.0,4kg
서울,수박/수박,당일,"19,200",1일전,"19,200",0.0,1개
서울,참외/참외,당일,"77,000",1일전,"75,200",2.4,10kg
서울,오이/다다기계통,당일,"77,200",1일전,"72,500",6.5,100개
서울,오이/취청,당일,"57,700",1일전,"57,000",1.2,50개
서울,호박/애호박,당일,"25,000",1일전,"27,000",7.4,20개
서울,호박/쥬키니,당일,"26,000",1일전,"29,200",11.0,10kg
서울,토마토/토마토,당일,"39,800",1일전,"39,800",0.0,10kg
서울,딸기/딸기,당일,"17,200",1일전,"17,200",0.0,2kg
서울,무/월동,당일,"11,000",1일전,"11,000",0.0,20kg
서울,당근/무세척,당일,"32,000",1일전,"31,600",1.3,20kg
서울,열무/열무,당일,"17,000",1일전,"17,200",1.2,4kg
서울,건고추/화건,당일,"600,000",1일전,"600,000",0.0,30kg
서울,건고추/양건,당일,"750,000",1일전,"750,000",0.0,30kg
서울,풋고추/풋고추,당일,"83,500",1일전,"79,500",5.0,10kg
서울,풋고추/꽈리고추,당일,"36,500",1일전,"34,000",7.4,4kg
서울,풋고추/청양고추,당일,"37,700",1일전,"39,000",3.3,10kg
서울,붉은고추/붉은고추,당일,"155,000",1일전,"159,000",2.5,10kg
서울,피마늘/한지,당일,"90,000",1일전,"90,000",0.0,10kg
서울,피마늘/난지(대서),당일,"60,000",1일전,"60,000",0.0,10kg
서울,깐마늘(국산)/깐마늘(대서),당일,"170,000",1일전,"170,000",0.0,20kg
서울,깐마늘(국산)/깐마늘(남도),당일,"175,000",1일전,"175,000",0.0,20kg
서울,양파/양파,당일,"13,300",1일전,"11,500",15.7,20kg
서울,파/대파,당일,"1,600",1일전,"1,620",1.2,1kg
서울,파/쪽파,당일,"3,000",1일전,"3,000",0.0,1kg
서울,생강/국산,당일,"65,000",1일전,"65,000",0.0,20kg
서울,미나리/미나리,당일,"86,600",1일전,"96,600",10.4,15kg
서울,깻잎/깻잎,당일,"28,500",1일전,"33,500",14.9,2kg
서울,피망/청,당일,"54,000",1일전,"54,000",0.0,10kg
서울,파프리카/파프리카,당일,"29,700",1일전,"27,500",8.0,5kg
서울,멜론/멜론,당일,"33,000",1일전,"33,000",0.0,8kg
서울,방울토마토/방울토마토,당일,"25,600",1일전,"25,600",0.0,5kg
서울,방울토마토/대추방울토마토,당일,"7,000",1일전,"6,900",1.5,1kg
서울,참깨/백색(국산),당일,"830,000",1일전,"830,000",0.0,30kg
서울,들깨/국산,당일,"652,000",1일전,"652,000",0.0,45kg
서울,땅콩/국산,당일,"360,000",1일전,"360,000",0.0,30kg
서울,느타리버섯/느타리버섯,당일,"7,000",1일전,"7,500",6.7,2kg
서울,느타리버섯/애느타리버섯,당일,"9,250",1일전,"9,000",2.8,2kg
서울,팽이버섯/팽이버섯,당일,"13,700",1일전,"13,000",5.4,5kg
서울,새송이버섯/새송이버섯,당일,"8,750",1일전,"9,000",2.8,2kg
서울,사과/후지,당일,"36,600",1일전,"36,600",0.0,10kg
서울,배/신고,당일,"49,800",1일전,"49,800",0.0,15kg
서울,포도/레드글로브 페루,당일,"34,600",1일전,"34,600",0.0,8kg
서울,바나나/수입,당일,"31,300",1일전,"31,300",0.0,13kg
서울,참다래/국산,당일,"49,800",1일전,"49,800",0.0,10kg
서울,파인애플/수입,당일,"30,600",1일전,"30,600",0.0,12kg
서울,오렌지/네이블 미국,당일,"71,600",1일전,"71,600",0.0,18kg
서울,레몬/수입,당일,"53,300",1일전,"53,300",0.0,17kg
서울,망고/수입,당일,"38,000",1일전,"38,000",0.0,5kg
서울,건미역/건미역,당일,"12,000",1일전,"12,000",0.0,1kg
서울,굴/굴,당일,"9,660",1일전,"9,660",0.0,1kg
부산,쌀/일반계,당일,"52,267",1일전,"52,267",0.0,20kg
부산,찹쌀/일반계,당일,"4,177",1일전,"4,177",0.0,1kg
부산,콩/흰 콩(국산),당일,"5,913",1일전,"5,913",0.0,500g
부산,팥/붉은 팥(국산),당일,"8,813",1일전,"8,813",0.0,500g
부산,녹두/국산,당일,"10,500",1일전,"10,500",0.0,500g
부산,고구마/밤,당일,"4,833",1일전,"4,833",0.0,1kg
부산,감자/수미,당일,520,1일전,520,0.0,100g
부산,배추/월동,당일,"4,500",1일전,"4,500",0.0,1포기
부산,양배추/양배추,당일,"3,500",1일전,"3,500",0.0,1포기
부산,시금치/시금치,당일,"7,930",1일전,"8,080",1.9,1kg
부산,상추/적,당일,825,1일전,825,0.0,100g
부산,상추/청,당일,995,1일전,995,0.0,100g
부산,얼갈이배추/얼갈이배추,당일,"3,163",1일전,"3,163",0.0,1kg
부산,참외/참외,당일,"34,865",1일전,"34,865",0.0,10개
부산,오이/가시계통,당일,"14,753",1일전,"14,753",0.0,10개
부산,오이/다다기계통,당일,"8,330",1일전,"8,330",0.0,10개
부산,호박/애호박,당일,"1,793",1일전,"1,793",0.0,1개
부산,호박/쥬키니,당일,"2,590",1일전,"2,240",15.6,1개
부산,토마토/토마토,당일,"4,893",1일전,"4,893",0.0,1kg
부산,딸기/딸기,당일,"1,120",1일전,"1,120",0.0,100g
부산,무/월동,당일,"1,995",1일전,"1,995",0.0,1개
부산,당근/무세척,당일,"2,940",1일전,"2,940",0.0,1kg
부산,열무/열무,당일,"3,653",1일전,"3,653",0.0,1kg
부산,건고추/화건,당일,"17,000",1일전,"17,000",0.0,600g
부산,건고추/양건,당일,"20,000",1일전,"20,000",0.0,600g
부산,풋고추/풋고추,당일,"1,130",1일전,"1,130",0.0,100g
부산,풋고추/꽈리고추,당일,"1,550",1일전,"1,550",0.0,100g
부산,풋고추/청양고추,당일,"1,063",1일전,"1,063",0.0,100g
부산,붉은고추/붉은고추,당일,"2,140",1일전,"2,140",0.0,100g
부산,깐마늘(국산)/깐마늘(국산),당일,"12,210",1일전,"12,210",0.0,1kg
부산,양파/양파,당일,"1,930",1일전,"1,930",0.0,1kg
부산,파/대파,당일,"2,967",1일전,"3,033",2.2,1kg
부산,파/쪽파,당일,"3,750",1일전,"3,750",0.0,1kg
부산,생강/국산,당일,"9,467",1일전,"9,467",0.0,1kg
부산,고춧가루/국산,당일,"32,833",1일전,"32,833",0.0,1kg
부산,고춧가루/중국,당일,"11,460",1일전,"11,460",0.0,1kg
부산,깻잎/깻잎,당일,"2,597",1일전,"2,597",0.0,100g
부산,피망/청,당일,"1,250",1일전,"1,250",0.0,100g
부산,파프리카/파프리카,당일,"1,827",1일전,"1,827",0.0,200g
부산,멜론/멜론,당일,"12,995",1일전,"12,995",0.0,1개
부산,방울토마토/방울토마토,당일,"9,920",1일전,"9,920",0.0,1kg
부산,방울토마토/대추방울토마토,당일,"9,247",1일전,"9,247",0.0,1kg
부산,참깨/백색(국산),당일,"14,600",1일전,"14,600",0.0,500g
부산,땅콩/국산,당일,"2,050",1일전,"2,050",0.0,100g
부산,느타리버섯/느타리버섯,당일,"1,000",1일전,"1,000",0.0,100g
부산,느타리버섯/애느타리버섯,당일,625,1일전,625,0.0,100g
부산,팽이버섯/팽이버섯,당일,657,1일전,657,0.0,150g
부산,새송이버섯/새송이버섯,당일,610,1일전,610,0.0,100g
부산,사과/후지,당일,"33,000",1일전,"33,000",0.0,10개
부산,배/신고,당일,"38,990",1일전,"38,990",0.0,10개
부산,포도/레드글로브 페루,당일,"7,770",1일전,"7,770",0.0,1kg
부산,바나나/수입,당일,300,1일전,300,0.0,100g
부산,참다래/국산,당일,"10,000",1일전,"10,000",0.0,10개
부산,파인애플/수입,당일,"6,000",1일전,"6,000",0.0,1개
부산,오렌지/네이블 미국,당일,"15,980",1일전,"14,140",13.0,10개
부산,레몬/수입,당일,"13,900",1일전,"13,900",0.0,10개
부산,망고/수입,당일,"3,990",1일전,"3,990",0.0,1개
부산,쇠고기/한우등심,당일,"9,500",1일전,"9,500",0.0,100g
부산,쇠고기/한우설도,당일,"4,900",1일전,"4,900",0.0,100g
부산,쇠고기/한우양지,당일,"4,500",1일전,"4,500",0.0,100g
부산,쇠고기/한우안심,당일,"11,000",1일전,"11,000",0.0,100g
부산,쇠고기/미국산갈비살,당일,"2,590",1일전,"2,590",0.0,100g
부산,쇠고기/호주산갈비,당일,"2,980",1일전,"2,980",0.0,100g
부산,우유/우유,당일,"2,730",1일전,"2,730",0.0,1리터
부산,건미역/건미역,당일,"3,913",1일전,"3,913",0.0,100g
부산,굴/굴,당일,"14,000",1일전,"18,265",23.4,1kg
부산,새우젓/새우젓,당일,"21,060",1일전,"21,060",0.0,1kg
부산,멸치액젓/멸치액젓,당일,"5,623",1일전,"5,623",0.0,1kg
부산,굵은소금/굵은소금,당일,"11,163",1일전,"11,163",0.0,5kg
부산,콩나물/풀무원 국산콩 콩나물 340g,당일,"2,695",1일전,"2,695",0.0,1봉
부산,맛김(조미김)/동원에프앤비 양반 들기름김 5g×20봉,당일,"7,985",1일전,"7,985",0.0,1묶음
부산,간장/샘표 양조간장 501 1.8L,당일,"13,820",1일전,"13,820",0.0,1개
부산,된장/청정원 재래식 생된장 1kg,당일,"7,040",1일전,"7,040",0.0,1개
부산,고추장/해찬들 우리쌀로만든 태양초고추장 1kg,당일,"8,195",1일전,"8,195",0.0,1개
부산,김치/대상 종가집 포기김치 3.3kg,당일,"28,800",1일전,"28,800",0.0,1개
부산,두부/풀무원 국산콩 300g×2,당일,"5,445",1일전,"5,445",0.0,1개
부산,즉석밥/CJ 햇반 백미밥 210g×8개,당일,"9,900",1일전,"9,900",0.0,1묶음
부산,쌀/일반계,당일,"52,000",1일전,"52,000",0.0,20kg
부산,찹쌀/일반계,당일,"117,000",1일전,"117,000",0.0,40kg
부산,콩/흰 콩(국산),당일,"215,000",1일전,"215,000",0.0,35kg
부산,팥/붉은 팥(국산),당일,"360,000",1일전,"360,000",0.0,40kg
부산,녹두/국산,당일,"685,000",1일전,"685,000",0.0,40kg
부산,고구마/밤,당일,"35,000",1일전,"35,000",0.0,10kg
부산,감자/수미,당일,"48,500",1일전,"48,000",1.0,20kg
부산,배추/월동,당일,"10,000",1일전,"9,000",11.1,10kg
부산,양배추/양배추,당일,"8,000",1일전,"9,000",11.1,8kg
부산,시금치/시금치,당일,"10,000",1일전,"10,000",0.0,4kg
부산,상추/적,당일,"19,000",1일전,"18,000",5.6,4kg
부산,상추/청,당일,"23,000",1일전,"25,000",8.0,4kg
부산,얼갈이배추/얼갈이배추,당일,"6,000",1일전,"6,000",0.0,4kg
부산,수박/수박,당일,"16,000",1일전,"16,000",0.0,1개
부산,참외/참외,당일,"80,000",1일전,"75,000",6.7,10kg
부산,오이/가시계통,당일,"40,000",1일전,"40,000",0.0,10kg
부산,호박/애호박,당일,"25,000",1일전,"24,000",4.2,20개
부산,호박/쥬키니,당일,"20,000",1일전,"20,000",0.0,10kg
부산,토마토/토마토,당일,"30,000",1일전,"30,000",0.0,10kg
부산,딸기/딸기,당일,"16,000",1일전,"20,000",20.0,2kg
부산,무/월동,당일,"11,000",1일전,"11,000",0.0,20kg
부산,당근/무세척,당일,"30,000",1일전,"30,000",0.0,20kg
부산,열무/열무,당일,"10,000",1일전,"10,000",0.0,4kg
부산,건고추/화건,당일,"550,000",1일전,"550,000",0.0,30kg
부산,건고추/양건,당일,"725,000",1일전,"725,000",0.0,30kg
부산,풋고추/풋고추,당일,"70,000",1일전,"70,000",0.0,10kg
부산,풋고추/꽈리고추,당일,"31,600",1일전,"29,000",9.0,4kg
부산,풋고추/청양고추,당일,"40,000",1일전,"40,000",0.0,10kg
부산,붉은고추/붉은고추,당일,"160,000",1일전,"150,000",6.7,10kg
부산,피마늘/한지,당일,"110,000",1일전,"110,000",0.0,10kg
부산,피마늘/난지(대서),당일,"73,300",1일전,"73,300",0.0,10kg
부산,깐마늘(국산)/깐마늘(대서),당일,"160,000",1일전,"160,000",0.0,20kg
부산,양파/양파,당일,"10,000",1일전,"10,000",0.0,20kg
부산,파/대파,당일,"1,500",1일전,"1,600",6.3,1kg
부산,파/쪽파,당일,"3,500",1일전,"3,500",0.0,1kg
부산,생강/국산,당일,"65,000",1일전,"65,000",0.0,20kg
부산,미나리/미나리,당일,"85,000",1일전,"90,000",5.6,15kg
부산,깻잎/깻잎,당일,"32,000",1일전,"30,000",6.7,2kg
부산,피망/청,당일,"46,000",1일전,"48,000",4.2,10kg
부산,파프리카/파프리카,당일,"26,000",1일전,"21,000",23.8,5kg
부산,멜론/멜론,당일,"25,000",1일전,"25,000",0.0,8kg
부산,방울토마토/대추방울토마토,당일,"8,000",1일전,"8,000",0.0,1kg
부산,참깨/백색(국산),당일,"800,000",1일전,"800,000",0.0,30kg
부산,들깨/국산,당일,"680,000",1일전,"680,000",0.0,45kg
부산,땅콩/국산,당일,"330,000",1일전,"330,000",0.0,30kg
부산,느타리버섯/느타리버섯,당일,"14,000",1일전,"14,000",0.0,2kg
부산,느타리버섯/애느타리버섯,당일,"6,000",1일전,"6,000",0.0,2kg
부산,팽이버섯/팽이버섯,당일,"14,000",1일전,"14,000",0.0,5kg
부산,새송이버섯/새송이버섯,당일,"6,000",1일전,"6,000",0.0,2kg
부산,사과/후지,당일,"40,000",1일전,"40,000",0.0,10kg
부산,배/신고,당일,"60,000",1일전,"60,000",0.0,15kg
부산,바나나/수입,당일,"32,000",1일전,"32,000",0.0,13kg
부산,참다래/국산,당일,"48,000",1일전,"48,000",0.0,10kg
부산,파인애플/수입,당일,"32,000",1일전,"32,000",0.0,12kg
부산,오렌지/네이블 미국,당일,"70,000",1일전,"70,000",0.0,18kg
부산,레몬/수입,당일,"55,000",1일전,"55,000",0.0,17kg
부산,망고/수입,당일,"40,000",1일전,"40,000",0.0,5kg
부산,건미역/건미역,당일,"14,000",1일전,"14,000",0.0,1kg
부산,굴/굴,당일,"11,000",1일전,"11,000",0.0,1kg
대구,쌀/일반계,당일,"51,367",1일전,"51,367",0.0,20kg
대구,찹쌀/일반계,당일,"4,503",1일전,"4,503",0.0,1kg
대구,콩/흰 콩(국산),당일,"5,713",1일전,"5,713",0.0,500g
대구,팥/붉은 팥(국산),당일,"8,200",1일전,"8,200",0.0,500g
대구,녹두/국산,당일,"10,000",1일전,"10,000",0.0,500g
대구,고구마/밤,당일,"5,437",1일전,"5,437",0.0,1kg
대구,감자/수미,당일,557,1일전,557,0.0,100g
대구,배추/월동,당일,"4,910",1일전,"4,910",0.0,1포기
